1 [[1, 1], [1, 1]]
169 [[0, 1], [0, 1]]
170 [[1, 2, 0], [2, 0, 1], [0, 1, 2]]
172 [[0, 1], [0, 1]]
176 [[0, 1], [0, 1]]
177 [[1, 2, 0], [2, 0, 1], [0, 1, 2]]
179 [[0, 1], [0, 1]]
182 [[0, 1], [0, 1]]
186 [[0, 1], [0, 1]]
190 [[0, 1], [0, 1]]
194 [[0, 1], [0, 1]]
198 [[0, 1], [0, 1]]
203 [[0, 0], [0, 1]]
204 [[0, 0], [1, 1]]
205 [[0, 1], [0, 0]]
206 [[1, 1], [0, 0]]
207 [[1, 1], [0, 0]]
208 [[0, 1], [0, 0]]
209 [[1, 1], [0, 0]]
210 [[1, 1], [0, 0]]
211 [[0, 0], [1, 1]]
212 [[1, 1], [0, 0]]
213 [[0, 0], [1, 1]]
214 [[0, 1], [0, 0]]
215 [[0, 0], [1, 1]]
216 [[1, 1], [0, 0]]
217 [[1, 1], [0, 0]]
218 [[0, 1], [0, 1]]
219 [[0, 2, 1], [2, 1, 0], [1, 0, 2]]
221 [[0, 1], [0, 0]]
222 [[0, 1, 2], [1, 2, 0], [2, 0, 1]]
224 [[0, 1], [0, 0]]
228 [[0, 1], [0, 1]]
229 [[0, 1, 2], [1, 2, 0], [2, 0, 1]]
231 [[0, 1], [0, 1]]
234 [[0, 1], [0, 1]]
238 [[0, 1], [0, 1]]
242 [[0, 1], [0, 1]]
246 [[0, 1], [0, 1]]
250 [[0, 1], [0, 1]]
255 [[0, 0], [0, 1]]
256 [[0, 0], [1, 1]]
257 [[0, 0], [1, 1]]
258 [[0, 0], [1, 1]]
259 [[0, 0], [1, 1]]
260 [[0, 0], [1, 1]]
261 [[0, 0], [1, 1]]
262 [[0, 0], [1, 1]]
263 [[0, 0], [1, 1]]
264 [[0, 0], [1, 1]]
265 [[0, 0], [1, 1]]
266 [[0, 1], [0, 1]]
267 [[0, 0], [1, 1]]
268 [[0, 0], [1, 1]]
269 [[0, 0], [1, 1]]
270 [[0, 1], [0, 1]]
271 [[0, 2, 1], [1, 0, 2], [2, 1, 0]]
273 [[0, 1], [0, 1]]
274 [[1, 2, 0], [2, 0, 1], [0, 1, 2]]
276 [[0, 1], [0, 1]]
280 [[0, 1], [0, 1]]
281 [[0, 2, 1], [2, 1, 0], [1, 0, 2]]
283 [[0, 1], [0, 1]]
286 [[0, 1], [0, 1]]
290 [[0, 1], [0, 1]]
294 [[0, 1], [0, 1]]
298 [[0, 1], [0, 1]]
302 [[0, 1], [0, 1]]
307 [[0, 0], [0, 1]]
308 [[0, 0], [1, 1]]
309 [[0, 0], [1, 1]]
310 [[0, 0], [1, 1]]
311 [[0, 0], [1, 1]]
312 [[0, 1], [0, 1]]
313 [[0, 0], [0, 0]]
314 [[0, 0], [0, 0]]
315 [[0, 0], [0, 0]]
316 [[0, 0], [0, 0]]
317 [[0, 0], [0, 0]]
318 [[0, 1], [0, 1]]
319 [[0, 0], [0, 0]]
320 [[0, 1], [0, 0]]
321 [[0, 0], [0, 0]]
322 [[1, 1], [1, 1]]
323 [[1, 1], [0, 1]]
324 [[0, 0], [0, 0]]
325 [[0, 0], [0, 0]]
326 [[0, 1], [0, 1]]
327 [[0, 0], [0, 0]]
328 [[0, 0], [0, 0]]
329 [[0, 0], [0, 0]]
330 [[0, 0], [1, 1]]
331 [[0, 0], [0, 0]]
332 [[0, 0], [0, 1]]
333 [[0, 0], [0, 0]]
334 [[0, 0], [0, 0]]
335 [[1, 1], [1, 1]]
336 [[0, 0], [0, 0]]
337 [[0, 0], [0, 0]]
338 [[1, 1], [1, 1]]
339 [[0, 0], [0, 0]]
340 [[0, 0], [0, 0]]
341 [[0, 0], [0, 0]]
342 [[0, 0], [0, 0]]
343 [[0, 0], [0, 0]]
344 [[0, 0], [0, 0]]
345 [[0, 0], [0, 0]]
346 [[0, 0], [0, 0]]
347 [[0, 1], [0, 1]]
348 [[0, 0], [0, 0]]
349 [[0, 0], [0, 0]]
350 [[1, 1], [1, 1]]
351 [[0, 0], [0, 0]]
352 [[0, 0], [0, 0]]
353 [[0, 0], [0, 0]]
354 [[0, 0], [0, 0]]
355 [[0, 0], [0, 0]]
356 [[0, 0], [0, 0]]
357 [[0, 0], [0, 0]]
358 [[0, 0], [0, 0]]
359 [[0, 0], [0, 0]]
360 [[0, 0], [1, 1]]
361 [[0, 1], [0, 1]]
362 [[0, 0], [0, 0]]
363 [[0, 0], [1, 1]]
364 [[0, 1], [0, 1]]
365 [[0, 0], [0, 0]]
366 [[0, 0], [0, 0]]
367 [[0, 1], [0, 1]]
368 [[0, 0], [0, 0]]
369 [[0, 0], [0, 0]]
370 [[0, 1], [0, 1]]
371 [[0, 0], [0, 0]]
372 [[0, 0], [0, 0]]
373 [[0, 0], [0, 0]]
374 [[0, 0], [0, 0]]
375 [[0, 1], [0, 1]]
376 [[0, 0], [1, 1]]
377 [[0, 0], [0, 0]]
378 [[1, 0], [1, 1]]
379 [[0, 0], [0, 0]]
380 [[0, 0], [0, 0]]
381 [[1, 0], [1, 0]]
382 [[0, 0], [0, 0]]
383 [[0, 0], [0, 0]]
384 [[0, 0], [0, 0]]
385 [[1, 0], [1, 0]]
386 [[0, 0], [0, 0]]
387 [[0, 0], [0, 1]]
388 [[1, 1], [1, 1]]
389 [[0, 0], [0, 0]]
390 [[0, 0], [0, 0]]
391 [[0, 0], [0, 0]]
392 [[0, 0], [0, 0]]
393 [[0, 0], [0, 0]]
394 [[0, 0], [0, 0]]
395 [[0, 0], [0, 0]]
396 [[0, 0], [0, 0]]
397 [[0, 0], [0, 0]]
398 [[0, 0], [0, 0]]
399 [[0, 0], [0, 0]]
400 [[0, 0], [0, 0]]
401 [[0, 0], [0, 0]]
402 [[0, 0], [0, 0]]
403 [[0, 1], [0, 1]]
404 [[0, 0], [0, 0]]
405 [[0, 0], [0, 0]]
406 [[0, 0], [0, 0]]
407 [[0, 0], [0, 0]]
408 [[0, 0], [0, 0]]
409 [[0, 0], [0, 0]]
410 [[0, 0], [0, 0]]
411 [[0, 1], [1, 1]]
412 [[0, 0], [1, 1]]
413 [[0, 1], [0, 1]]
414 [[0, 0], [1, 0]]
415 [[0, 0], [1, 1]]
416 [[0, 1], [0, 1]]
417 [[1, 0], [0, 1]]
418 [[0, 0], [1, 1]]
419 [[0, 1], [0, 1]]
420 [[0, 0], [1, 1]]
421 [[0, 0], [1, 1]]
422 [[1, 0], [1, 0]]
423 [[0, 0], [1, 1]]
424 [[0, 0], [1, 1]]
425 [[0, 0], [1, 1]]
426 [[0, 0], [1, 1]]
427 [[1, 0], [0, 1]]
428 [[0, 0], [1, 1]]
429 [[0, 1], [0, 1]]
430 [[0, 0], [1, 1]]
431 [[0, 0], [1, 1]]
432 [[0, 1], [0, 1]]
433 [[1, 0], [1, 1]]
434 [[1, 0], [1, 1]]
435 [[0, 0], [1, 1]]
436 [[0, 0], [1, 1]]
437 [[0, 0], [1, 0]]
438 [[0, 0], [1, 1]]
439 [[0, 1], [0, 1]]
440 [[0, 0], [1, 1]]
441 [[0, 0], [1, 1]]
442 [[0, 1], [0, 1]]
443 [[0, 0], [1, 1]]
444 [[0, 0], [1, 1]]
445 [[0, 0], [1, 1]]
446 [[0, 0], [1, 1]]
447 [[0, 0], [1, 1]]
448 [[0, 0], [1, 1]]
449 [[0, 0], [1, 1]]
450 [[0, 1], [0, 1]]
451 [[0, 0], [1, 1]]
452 [[0, 0], [1, 1]]
453 [[0, 0], [1, 1]]
454 [[0, 0], [1, 1]]
455 [[1, 0], [0, 1]]
456 [[0, 0], [1, 1]]
457 [[0, 0], [1, 1]]
458 [[0, 0], [1, 1]]
459 [[0, 0], [1, 1]]
460 [[0, 0], [1, 1]]
461 [[0, 0], [1, 1]]
462 [[0, 0], [1, 1]]
463 [[0, 1], [0, 1]]
464 [[1, 0], [0, 1]]
466 [[0, 1], [0, 1]]
467 [[1, 3, 2, 4, 0], [4, 2, 0, 3, 1], [0, 4, 3, 1, 2], [2, 1, 4, 0, 3], [3, 0, 1, 2, 4]]
469 [[0, 1], [0, 1]]
473 [[1, 0], [0, 1]]
474 [[1, 0, 2], [2, 1, 0], [0, 2, 1]]
476 [[0, 1], [0, 1]]
477 [[1, 0], [0, 1]]
479 [[1, 0], [1, 0]]
481 [[1, 0], [0, 1]]
483 [[0, 1], [0, 1]]
487 [[1, 0], [1, 0]]
489 [[1, 0], [0, 1]]
491 [[0, 1], [0, 1]]
492 [[1, 0], [0, 1]]
495 [[1, 0], [1, 0]]
500 [[1, 0], [0, 1]]
501 [[3, 0, 1, 2], [1, 3, 0, 2], [3, 2, 1, 0], [2, 3, 1, 0]]
503 [[0, 1], [0, 1]]
504 [[0, 1], [1, 0]]
506 [[0, 1], [0, 1]]
508 [[1, 0], [0, 1]]
510 [[1, 0], [1, 0]]
511 [[1, 0], [0, 1]]
513 [[0, 1], [0, 1]]
516 [[0, 1], [0, 1]]
520 [[0, 1], [0, 1]]
522 [[1, 0], [0, 1]]
524 [[0, 1], [0, 1]]
528 [[0, 1], [0, 1]]
532 [[0, 1], [0, 1]]
537 [[0, 1], [0, 1]]
541 [[0, 1], [0, 1]]
543 [[1, 0], [0, 1]]
545 [[1, 0], [1, 0]]
546 [[0, 1], [1, 0]]
549 [[0, 1], [0, 1]]
554 [[1, 0], [1, 0]]
556 [[0, 1], [1, 0]]
558 [[0, 1], [0, 1]]
562 [[0, 1], [1, 0]]
566 [[0, 1], [0, 1]]
571 [[0, 1], [0, 1]]
572 [[0, 1], [1, 0]]
575 [[0, 1], [1, 0]]
579 [[0, 1], [0, 1]]
583 [[1, 0], [1, 0]]
588 [[1, 0], [1, 0]]
593 [[0, 1], [0, 1]]
598 [[1, 0], [1, 0]]
603 [[0, 1], [0, 1]]
608 [[0, 1], [0, 1]]
614 [[0, 1], [1, 1]]
615 [[0, 0], [1, 1]]
616 [[0, 0], [1, 1]]
617 [[0, 0], [1, 1]]
618 [[0, 0], [1, 1]]
619 [[0, 0], [1, 1]]
620 [[0, 1], [1, 0]]
621 [[0, 0], [1, 1]]
622 [[0, 1], [0, 1]]
623 [[0, 0], [1, 1]]
624 [[0, 0], [1, 1]]
625 [[0, 0], [1, 1]]
626 [[0, 0], [1, 1]]
627 [[0, 0], [1, 1]]
628 [[0, 0], [1, 1]]
629 [[0, 0], [1, 1]]
630 [[0, 0], [1, 1]]
631 [[0, 0], [1, 1]]
632 [[1, 0], [0, 1]]
633 [[0, 0], [1, 1]]
634 [[0, 0], [1, 1]]
635 [[0, 0], [1, 1]]
636 [[0, 0], [1, 1]]
637 [[0, 0], [1, 1]]
638 [[0, 0], [1, 1]]
639 [[0, 0], [1, 1]]
640 [[0, 0], [1, 1]]
641 [[0, 0], [1, 1]]
642 [[0, 0], [1, 1]]
643 [[0, 0], [1, 1]]
644 [[0, 0], [1, 1]]
645 [[0, 0], [1, 1]]
646 [[0, 0], [1, 1]]
647 [[0, 0], [1, 1]]
648 [[0, 0], [1, 1]]
649 [[0, 0], [1, 1]]
650 [[0, 0], [1, 1]]
651 [[0, 0], [1, 1]]
652 [[0, 0], [1, 1]]
653 [[0, 0], [1, 1]]
654 [[0, 0], [1, 1]]
655 [[0, 0], [1, 1]]
656 [[0, 0], [1, 1]]
657 [[0, 0], [1, 1]]
658 [[0, 0], [1, 1]]
659 [[0, 0], [1, 1]]
660 [[0, 0], [1, 1]]
661 [[0, 0], [1, 1]]
662 [[0, 0], [1, 1]]
663 [[0, 0], [1, 1]]
664 [[0, 0], [1, 1]]
665 [[0, 0], [1, 1]]
666 [[0, 1], [0, 1]]
667 [[1, 0], [0, 1]]
669 [[1, 0], [0, 1]]
670 [[2, 0, 3, 1], [1, 3, 0, 2], [3, 0, 1, 2], [1, 2, 3, 0]]
672 [[0, 1], [0, 1]]
676 [[0, 1], [1, 0]]
677 [[0, 4, 3, 2, 1], [2, 1, 0, 4, 3], [4, 3, 2, 1, 0], [1, 0, 4, 3, 2], [3, 2, 1, 0, 4]]
679 [[0, 1], [0, 1]]
680 [[1, 0], [0, 1]]
682 [[0, 1], [0, 1]]
684 [[0, 1], [1, 0]]
686 [[0, 1], [0, 1]]
690 [[0, 1], [0, 1]]
692 [[1, 0], [0, 1]]
694 [[0, 1], [0, 1]]
695 [[1, 0], [0, 1]]
698 [[0, 1], [0, 1]]
703 [[1, 0], [0, 1]]
704 [[3, 4, 1, 2, 0], [2, 0, 4, 1, 3], [0, 1, 2, 3, 4], [1, 3, 0, 4, 2], [4, 2, 3, 0, 1]]
706 [[0, 1], [0, 1]]
707 [[1, 0], [0, 1]]
709 [[0, 1], [0, 1]]
711 [[0, 1], [1, 0]]
713 [[0, 1], [0, 1]]
714 [[1, 0], [0, 1]]
716 [[0, 1], [0, 1]]
719 [[0, 1], [0, 1]]
723 [[0, 1], [0, 1]]
725 [[1, 0], [0, 1]]
727 [[0, 1], [0, 1]]
731 [[1, 0], [0, 1]]
735 [[0, 1], [0, 1]]
740 [[0, 1], [0, 1]]
744 [[0, 1], [0, 1]]
746 [[1, 0], [0, 1]]
748 [[0, 1], [0, 1]]
749 [[1, 0], [0, 1]]
752 [[0, 1], [0, 1]]
757 [[0, 1], [0, 1]]
759 [[1, 0], [0, 1]]
761 [[0, 1], [0, 1]]
765 [[1, 0], [0, 1]]
769 [[0, 1], [0, 1]]
774 [[0, 1], [0, 1]]
775 [[1, 0], [0, 1]]
778 [[1, 0], [0, 1]]
782 [[0, 1], [0, 1]]
786 [[0, 1], [0, 1]]
791 [[0, 1], [0, 1]]
796 [[0, 1], [0, 1]]
801 [[0, 1], [0, 1]]
806 [[0, 1], [0, 1]]
811 [[0, 1], [0, 1]]
817 [[0, 0], [0, 1]]
818 [[0, 0], [1, 1]]
819 [[0, 1], [0, 1]]
820 [[0, 0], [1, 1]]
821 [[0, 0], [1, 1]]
822 [[0, 0], [1, 1]]
823 [[0, 0], [1, 1]]
824 [[0, 0], [1, 1]]
825 [[1, 0], [0, 1]]
826 [[0, 0], [1, 1]]
827 [[0, 0], [1, 1]]
828 [[0, 0], [1, 1]]
829 [[0, 0], [1, 1]]
830 [[0, 0], [1, 1]]
831 [[0, 0], [1, 1]]
832 [[0, 1], [0, 1]]
833 [[1, 0], [0, 1]]
834 [[0, 0], [1, 1]]
835 [[0, 1], [0, 1]]
836 [[0, 0], [1, 0]]
837 [[0, 0], [1, 1]]
838 [[0, 0], [1, 1]]
839 [[1, 0], [1, 1]]
840 [[1, 0], [1, 1]]
841 [[0, 0], [1, 1]]
842 [[0, 0], [1, 1]]
843 [[0, 0], [1, 1]]
844 [[0, 0], [1, 1]]
845 [[0, 0], [1, 1]]
846 [[0, 0], [1, 1]]
847 [[0, 0], [1, 1]]
848 [[0, 0], [1, 1]]
849 [[0, 0], [1, 1]]
850 [[0, 0], [1, 1]]
851 [[0, 0], [1, 1]]
852 [[0, 1], [0, 1]]
853 [[0, 0], [1, 1]]
854 [[0, 0], [1, 1]]
855 [[0, 0], [1, 1]]
856 [[0, 0], [1, 1]]
857 [[0, 0], [1, 1]]
858 [[0, 0], [1, 1]]
859 [[0, 0], [1, 1]]
860 [[0, 1], [0, 1]]
861 [[1, 0], [0, 1]]
862 [[0, 0], [1, 1]]
863 [[0, 0], [1, 1]]
864 [[0, 0], [1, 1]]
865 [[0, 0], [1, 1]]
866 [[0, 0], [1, 1]]
867 [[0, 0], [1, 1]]
868 [[0, 0], [1, 1]]
869 [[0, 1], [0, 1]]
870 [[0, 1], [1, 0]]
872 [[0, 1], [0, 1]]
873 [[0, 2, 1], [2, 1, 0], [1, 0, 2]]
875 [[0, 1], [0, 1]]
879 [[0, 1], [0, 1]]
880 [[0, 2, 1], [2, 1, 0], [1, 0, 2]]
882 [[0, 1], [0, 1]]
883 [[0, 1], [1, 0]]
885 [[0, 1], [0, 1]]
887 [[0, 1], [1, 0]]
889 [[0, 1], [0, 1]]
893 [[0, 1], [0, 1]]
895 [[0, 1], [1, 0]]
897 [[0, 1], [0, 1]]
898 [[1, 0], [0, 1]]
901 [[0, 1], [0, 1]]
906 [[0, 1], [0, 1]]
907 [[0, 2, 1], [2, 1, 0], [1, 0, 2]]
909 [[0, 1], [0, 1]]
910 [[0, 1], [1, 0]]
912 [[0, 1], [0, 1]]
914 [[0, 1], [1, 0]]
916 [[0, 1], [0, 1]]
917 [[0, 1], [1, 0]]
919 [[0, 1], [0, 1]]
922 [[0, 1], [0, 1]]
926 [[0, 1], [0, 1]]
928 [[0, 1], [1, 0]]
930 [[0, 1], [0, 1]]
934 [[1, 0], [0, 1]]
938 [[0, 1], [0, 1]]
943 [[0, 1], [0, 1]]
947 [[0, 1], [0, 1]]
949 [[1, 0], [0, 1]]
951 [[0, 1], [0, 1]]
952 [[0, 1], [1, 0]]
955 [[0, 1], [0, 1]]
960 [[0, 1], [0, 1]]
962 [[1, 0], [0, 1]]
964 [[0, 1], [0, 1]]
968 [[0, 1], [0, 1]]
972 [[0, 1], [0, 1]]
977 [[0, 1], [0, 1]]
978 [[0, 1], [1, 0]]
981 [[0, 1], [0, 1]]
985 [[0, 1], [0, 1]]
989 [[0, 1], [0, 1]]
994 [[0, 1], [0, 1]]
999 [[0, 1], [0, 1]]
1004 [[0, 1], [0, 1]]
1009 [[0, 1], [0, 1]]
1014 [[0, 1], [0, 1]]
1020 [[0, 1], [1, 1]]
1021 [[0, 0], [1, 1]]
1022 [[0, 1], [0, 1]]
1023 [[1, 0], [0, 1]]
1024 [[0, 0], [1, 1]]
1025 [[0, 1], [0, 1]]
1026 [[1, 0], [0, 1]]
1027 [[0, 0], [1, 1]]
1028 [[0, 0], [1, 1]]
1029 [[0, 0], [1, 1]]
1030 [[0, 0], [1, 1]]
1031 [[0, 0], [1, 0]]
1032 [[0, 0], [1, 1]]
1033 [[0, 0], [1, 1]]
1034 [[0, 0], [1, 1]]
1035 [[0, 0], [1, 1]]
1036 [[0, 0], [1, 1]]
1037 [[0, 0], [1, 1]]
1038 [[0, 1], [0, 1]]
1039 [[0, 0], [1, 1]]
1040 [[0, 0], [1, 1]]
1041 [[0, 0], [1, 0]]
1042 [[0, 0], [1, 0]]
1043 [[0, 0], [1, 0]]
1044 [[0, 0], [1, 1]]
1045 [[0, 1], [0, 1]]
1046 [[1, 0], [1, 1]]
1047 [[0, 0], [1, 1]]
1048 [[0, 0], [1, 1]]
1049 [[0, 0], [1, 1]]
1050 [[0, 0], [1, 1]]
1051 [[0, 0], [1, 0]]
1052 [[0, 0], [1, 0]]
1053 [[0, 1], [1, 0]]
1054 [[0, 0], [1, 1]]
1055 [[0, 1], [0, 1]]
1056 [[0, 0], [1, 1]]
1057 [[0, 0], [1, 1]]
1058 [[0, 0], [1, 1]]
1059 [[0, 0], [1, 1]]
1060 [[1, 0], [1, 1]]
1061 [[0, 0], [1, 1]]
1062 [[0, 0], [1, 1]]
1063 [[0, 0], [1, 1]]
1064 [[0, 0], [1, 1]]
1065 [[0, 0], [1, 1]]
1066 [[0, 0], [1, 1]]
1067 [[0, 0], [1, 0]]
1068 [[0, 0], [1, 0]]
1069 [[0, 0], [1, 1]]
1070 [[0, 0], [1, 1]]
1071 [[0, 0], [1, 1]]
1072 [[0, 1], [0, 1]]
1073 [[1, 0], [0, 1]]
1075 [[0, 1], [0, 1]]
1076 [[0, 4, 3, 1, 2], [2, 1, 4, 0, 3], [1, 3, 2, 4, 0], [4, 2, 0, 3, 1], [3, 0, 1, 2, 4]]
1078 [[0, 1], [0, 1]]
1082 [[0, 1], [0, 1]]
1083 [[0, 2, 1], [1, 0, 2], [2, 1, 0]]
1085 [[0, 1], [0, 1]]
1086 [[1, 0], [0, 1]]
1088 [[1, 0], [1, 0]]
1090 [[1, 0], [0, 1]]
1092 [[0, 1], [0, 1]]
1096 [[1, 0], [1, 0]]
1098 [[0, 1], [1, 0]]
1100 [[0, 1], [0, 1]]
1101 [[1, 0], [0, 1]]
1104 [[0, 1], [0, 1]]
1109 [[1, 0], [0, 1]]
1110 [[1, 0, 3, 2], [3, 2, 1, 0], [2, 3, 0, 1], [0, 1, 2, 3]]
1112 [[0, 1], [0, 1]]
1113 [[1, 0], [0, 1]]
1115 [[0, 1], [0, 1]]
1117 [[1, 0], [0, 1]]
1119 [[0, 1], [0, 1]]
1120 [[1, 0], [0, 1]]
1122 [[1, 0], [0, 1]]
1125 [[0, 1], [0, 1]]
1129 [[1, 0], [1, 0]]
1131 [[1, 0], [0, 1]]
1133 [[1, 0], [1, 0]]
1137 [[1, 0], [0, 1]]
1141 [[0, 1], [0, 1]]
1146 [[0, 1], [0, 1]]
1150 [[0, 1], [0, 1]]
1152 [[0, 1], [1, 0]]
1154 [[0, 1], [0, 1]]
1155 [[1, 0], [0, 1]]
1158 [[0, 1], [0, 1]]
1163 [[1, 0], [1, 0]]
1165 [[1, 0], [0, 1]]
1167 [[1, 0], [1, 0]]
1171 [[0, 1], [0, 1]]
1175 [[0, 1], [0, 1]]
1180 [[0, 1], [0, 1]]
1181 [[1, 0], [0, 1]]
1184 [[1, 0], [0, 1]]
1188 [[0, 1], [0, 1]]
1192 [[0, 1], [0, 1]]
1197 [[0, 1], [0, 1]]
1202 [[0, 1], [0, 1]]
1207 [[0, 1], [0, 1]]
1212 [[0, 1], [0, 1]]
1217 [[0, 1], [0, 1]]
1223 [[0, 1], [1, 1]]
1224 [[0, 0], [1, 0]]
1225 [[0, 0], [1, 1]]
1226 [[0, 0], [1, 1]]
1227 [[0, 0], [1, 1]]
1228 [[1, 0], [1, 1]]
1229 [[1, 0], [1, 1]]
1230 [[0, 0], [1, 1]]
1231 [[0, 0], [1, 1]]
1232 [[0, 0], [1, 1]]
1233 [[0, 0], [1, 1]]
1234 [[0, 0], [1, 1]]
1235 [[0, 0], [1, 1]]
1236 [[0, 0], [1, 1]]
1237 [[0, 0], [1, 1]]
1238 [[0, 0], [1, 1]]
1239 [[0, 0], [1, 1]]
1240 [[0, 0], [1, 0]]
1241 [[0, 0], [1, 1]]
1242 [[0, 0], [1, 0]]
1243 [[0, 0], [1, 0]]
1244 [[0, 0], [1, 1]]
1245 [[0, 0], [1, 1]]
1246 [[0, 0], [1, 1]]
1247 [[0, 0], [1, 0]]
1248 [[0, 0], [1, 1]]
1249 [[0, 0], [1, 1]]
1250 [[0, 0], [1, 1]]
1251 [[0, 0], [1, 1]]
1252 [[0, 0], [1, 1]]
1253 [[0, 0], [1, 1]]
1254 [[0, 0], [1, 1]]
1255 [[0, 0], [1, 1]]
1256 [[0, 0], [1, 1]]
1257 [[0, 0], [1, 1]]
1258 [[0, 0], [1, 1]]
1259 [[0, 0], [1, 1]]
1260 [[0, 0], [1, 1]]
1261 [[0, 0], [1, 0]]
1262 [[0, 0], [1, 0]]
1263 [[0, 0], [1, 1]]
1264 [[0, 0], [1, 0]]
1265 [[0, 0], [1, 1]]
1266 [[0, 0], [1, 0]]
1267 [[0, 0], [1, 1]]
1268 [[0, 0], [1, 1]]
1269 [[0, 0], [1, 1]]
1270 [[0, 0], [1, 1]]
1271 [[0, 0], [1, 1]]
1272 [[0, 0], [1, 1]]
1273 [[0, 0], [1, 1]]
1274 [[0, 0], [1, 1]]
1275 [[0, 1], [0, 1]]
1276 [[1, 0], [0, 1]]
1278 [[1, 0], [0, 1]]
1279 [[0, 4, 3, 2, 1], [3, 1, 4, 0, 2], [1, 0, 2, 4, 3], [4, 2, 1, 3, 0], [2, 3, 0, 1, 4]]
1281 [[0, 1], [0, 1]]
1285 [[1, 0], [1, 0]]
1288 [[0, 1], [0, 1]]
1289 [[0, 1], [1, 0]]
1291 [[1, 0], [1, 0]]
1293 [[1, 0], [0, 1]]
1295 [[1, 0], [1, 0]]
1299 [[1, 0], [1, 0]]
1301 [[0, 1], [1, 0]]
1303 [[1, 0], [1, 0]]
1304 [[0, 1], [1, 0]]
1307 [[1, 0], [1, 0]]
1312 [[0, 1], [1, 0]]
